id,actual class,predicted class,predicted probability
904568770982764545_0,0.0,4,"[0.06786756217479706, 0.19410185515880585, 0.20292769372463226, 0.02095320075750351, 0.5141496658325195]"
905221184819781632_1,0.0,2,"[0.11261183023452759, 0.2115565538406372, 0.42867183685302734, 0.023114265874028206, 0.2240455448627472]"
909750386340249601_0,0.0,2,"[0.12343287467956543, 0.07677410542964935, 0.49096107482910156, 0.07052123546600342, 0.23831072449684143]"
917781957693640707_0,0.0,4,"[0.16075348854064941, 0.257171094417572, 0.050222672522068024, 0.00998326949775219, 0.5218695402145386]"
921867940882014208_0,0.0,2,"[0.10271932184696198, 0.26399630308151245, 0.4178384840488434, 0.01947927288711071, 0.19596663117408752]"
930293724990410752_0,0.0,4,"[0.07594570517539978, 0.018888089805841446, 0.15323178470134735, 0.012735455296933651, 0.7391989827156067]"
930415579294584834_0,0.0,2,"[0.1308380663394928, 0.04229319840669632, 0.7063320875167847, 0.018012916669249535, 0.10252372175455093]"
930496036216496129_0,0.0,2,"[0.17012031376361847, 0.06667774170637131, 0.4286571741104126, 0.010151999071240425, 0.3243928551673889]"
931084029599928322_0,0.0,2,"[0.19076211750507355, 0.04040812328457832, 0.5239627957344055, 0.018217550590634346, 0.2266494333744049]"
870114879541137408_0,1.0,1,"[0.0758562833070755, 0.41309842467308044, 0.20909596979618073, 0.2314714789390564, 0.07047778367996216]"
870146384904761344_0,1.0,4,"[0.12236453592777252, 0.21809826791286469, 0.08348897099494934, 0.02651129476726055, 0.549536943435669]"
872486971796598785_0,1.0,1,"[0.015348982997238636, 0.9119105935096741, 0.055779166519641876, 0.003525862004607916, 0.013435418717563152]"
901646559384829953_0,1.0,1,"[0.04332084208726883, 0.44130370020866394, 0.15592998266220093, 0.1623266190290451, 0.19711889326572418]"
901650824530669568_1,1.0,1,"[0.006286850664764643, 0.9294882416725159, 0.03654292970895767, 0.01121251005679369, 0.016469482332468033]"
901714497332809728_0,1.0,1,"[0.028520749881863594, 0.7005759477615356, 0.2260444015264511, 0.006746792234480381, 0.03811207786202431]"
901792272882294786_0,1.0,1,"[0.04059445485472679, 0.459715336561203, 0.3658190369606018, 0.051279790699481964, 0.08259134739637375]"
904212047499595776_0,1.0,1,"[0.03607456758618355, 0.768776535987854, 0.08876850455999374, 0.04345608502626419, 0.0629243403673172]"
904220981597757441_0,1.0,2,"[0.05578067898750305, 0.2544807493686676, 0.5065146684646606, 0.13821260631084442, 0.04501126706600189]"
904330655848423424_0,1.0,1,"[0.043053772300481796, 0.5695441961288452, 0.25380486249923706, 0.05081105977296829, 0.08278609812259674]"
904410103050366976_0,1.0,1,"[0.017719166353344917, 0.7602111101150513, 0.19440269470214844, 0.010923312976956367, 0.016743706539273262]"
904549453058715648_0,1.0,1,"[0.018986431881785393, 0.920099139213562, 0.0318291112780571, 0.011438637040555477, 0.017646636813879013]"
904713943653818368_0,1.0,1,"[0.032709792256355286, 0.7607433199882507, 0.07526754587888718, 0.003379702800884843, 0.12789954245090485]"
904830090386735105_0,1.0,1,"[0.08457638323307037, 0.5282037258148193, 0.25878188014030457, 0.050700604915618896, 0.07773738354444504]"
904989032031158274_0,1.0,2,"[0.05178077891469002, 0.2584579586982727, 0.6231240630149841, 0.009767478331923485, 0.05686967447400093]"
905055726183124993_0,1.0,3,"[0.06301715970039368, 0.23472481966018677, 0.09340748190879822, 0.48141852021217346, 0.12743203341960907]"
905486990279397382_0,1.0,2,"[0.055785976350307465, 0.29422837495803833, 0.42365843057632446, 0.012328938581049442, 0.21399828791618347]"
